hypothesis_id,source,failure_class,feature_layer,feature,metric,family,lane,bit,control_bit,evidence,matched_pair_support,recommended_intervention,status
HD-066,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_3__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,3,after failure class fail_abort2_lane0; median_delta 413.0; median_delta_abs 413.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-067,failure_class_delta,fail_abort2_lane0,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,after failure class fail_abort2_lane0; median_delta -582.0; median_delta_abs 224.0; n 13,13,RTL stable-before-LD intervention: shadow CNTVALUEIN locally and assert LD only after a fixed stable window.,hypothesis_generated
HD-068,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq0,,after failure class fail_abort2_lane0; median_delta -397.0; median_delta_abs -397.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-069,failure_class_delta,fail_abort2_lane0,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,3,after failure class fail_abort2_lane0; median_delta -644.0; median_delta_abs 143.0; n 13,13,RTL stable-before-LD intervention: shadow CNTVALUEIN locally and assert LD only after a fixed stable window.,hypothesis_generated
HD-070,failure_class_delta,fail_abort2_lane0,skew,abs_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,abs_idelayctrl_minus_reset_release,startup_relative_skew,all,,,after failure class fail_abort2_lane0; median_delta -376.0; median_delta_abs -376.0; n 13,13,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-071,failure_class_delta,fail_abort2_lane0,skew,signed_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,signed_idelayctrl_minus_reset_release,startup_relative_skew,all,,,after failure class fail_abort2_lane0; median_delta -376.0; median_delta_abs -376.0; n 13,13,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-072,failure_class_delta,fail_abort2_lane0,sdf,direct_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq12,,after failure class fail_abort2_lane0; median_delta -375.0; median_delta_abs -375.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-073,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_ld__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq1,,after failure class fail_abort2_lane0; median_delta -375.0; median_delta_abs -375.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-074,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,after failure class fail_abort2_lane0; median_delta 448.0; median_delta_abs -293.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-075,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,after failure class fail_abort2_lane0; median_delta 458.0; median_delta_abs -275.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-076,failure_class_delta,fail_abort2_lane0,sdf,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,after failure class fail_abort2_lane0; median_delta 365.0; median_delta_abs 365.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-077,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,3,after failure class fail_abort2_lane0; median_delta 365.0; median_delta_abs 365.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-078,failure_class_delta,fail_abort2_lane0,sdf,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,after failure class fail_abort2_lane0; median_delta 363.0; median_delta_abs 363.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-079,failure_class_delta,fail_abort2_lane0,sdf,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq7,,after failure class fail_abort2_lane0; median_delta -358.0; median_delta_abs -358.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-080,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_3__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,3,after failure class fail_abort2_lane0; median_delta 358.0; median_delta_abs 358.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-081,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,after failure class fail_abort2_lane0; median_delta 500.0; median_delta_abs -209.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-082,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,after failure class fail_abort2_lane0; median_delta 427.5; median_delta_abs 272.5; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-083,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,after failure class fail_abort2_lane0; median_delta -345.0; median_delta_abs -345.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-084,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,after failure class fail_abort2_lane0; median_delta 564.0; median_delta_abs -122.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-085,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,after failure class fail_abort2_lane0; median_delta 443.0; median_delta_abs 202.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-086,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_ld__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq4,,after failure class fail_abort2_lane0; median_delta -318.0; median_delta_abs -318.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-087,failure_class_delta,fail_abort2_lane0,sdf,direct_max__dq_iologic__lane1__dq13__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq13,,after failure class fail_abort2_lane0; median_delta -307.0; median_delta_abs -307.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-088,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,after failure class fail_abort2_lane0; median_delta 348.0; median_delta_abs -266.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-089,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,idelayctrl,all,,,after failure class fail_abort2_lane0; median_delta -295.0; median_delta_abs -295.0; n 13,13,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-090,failure_class_delta,fail_abort2_lane0,sdf,lane_spread__idelayctrl__all__no_bit__ctrl_none__lane__value_ps,lane_spread,idelayctrl,all,,,after failure class fail_abort2_lane0; median_delta -295.0; median_delta_abs -295.0; n 13,13,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-091,failure_class_delta,fail_abort2_lane0,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,after failure class fail_abort2_lane0; median_delta -293.0; median_delta_abs -293.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-092,failure_class_delta,fail_abort2_lane0,sdf,direct_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq15,,after failure class fail_abort2_lane0; median_delta -291.0; median_delta_abs -291.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-093,failure_class_delta,fail_abort2_lane0,sdf,direct_max__dq_iologic__lane1__dq8__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq8,,after failure class fail_abort2_lane0; median_delta -289.0; median_delta_abs -289.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-094,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_ld__lane1__dq8__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq8,,after failure class fail_abort2_lane0; median_delta -288.0; median_delta_abs -288.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-095,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_ld__lane0__dqs0__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dqs0,,after failure class fail_abort2_lane0; median_delta -286.0; median_delta_abs -286.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-096,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,2,after failure class fail_abort2_lane0; median_delta -282.0; median_delta_abs -282.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-097,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,3,after failure class fail_abort2_lane0; median_delta 282.0; median_delta_abs 282.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-098,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,3,after failure class fail_abort2_lane0; median_delta 468.0; median_delta_abs -92.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-099,failure_class_delta,fail_abort2_lane0,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,after failure class fail_abort2_lane0; median_delta -275.0; median_delta_abs -275.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-100,failure_class_delta,fail_abort2_lane0,skew,abs_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,after failure class fail_abort2_lane0; median_delta 272.5; median_delta_abs 272.5; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-101,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,3,after failure class fail_abort2_lane0; median_delta 441.0; median_delta_abs -103.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-102,failure_class_delta,fail_abort2_lane0,sdf,direct_max__idelay_ld__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq2,,after failure class fail_abort2_lane0; median_delta -271.0; median_delta_abs -271.0; n 13,13,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-103,failure_class_delta,fail_abort2_lane0,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,after failure class fail_abort2_lane0; median_delta -266.0; median_delta_abs -266.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-104,failure_class_delta,fail_abort2_lane0,skew,signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_2__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,2,after failure class fail_abort2_lane0; median_delta 360.5; median_delta_abs -171.5; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-105,failure_class_delta,fail_abort2_lane0,sdf,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq8__ctrl_none__dq8__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,after failure class fail_abort2_lane0; median_delta 260.0; median_delta_abs 260.0; n 13,13,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
